Nazvanie_knigi;Nazvanie_na_jazyke_originala;Opisanie;ISBN;Avtor;Izdatelstvo;God_vypuska;Kolichestvo_stranic;Perepljot;Serija;Tirazh;Format;Ves;Oblozhka;Kategorija;Podkategoriya_1;Podkategoriya_2;Podkategoriya_3;Podkategoriya_4;Podkategoriya_5;Podkategoriya_6;Podkategoriya_7
100 поделок для подготовки к школе;;;978-5-17-071171-0;Узорова О.В., Нефедова Е.А.;АСТ**777** Астрель;2010;64;мягкий;Несерийное издание;15000;60х90/8;0, 19;100-podelok-dlya-podgotovki-k-shkole_5222287.jpg;Книги;Детская литература. Книги для детей и родителей;Обучающая и развивающая литература для детей;Общая подготовка к школе;;;;
100 сказок;;;978-5-17-083338-2;Сутеев В.Г.;АСТ;2014;288;твердый;;1500;70x90/16;0, 455;100-skazok_11046192.jpg;Книги;Детская литература. Книги для детей и родителей;Художественная литература для детей;Сказки;Литературные сказки;;;
100 сказок;;;978-5-17-083339-9;Сутеев В.Г.;АСТ;2014;288;твердый;;2000;70x90/16;0, 45;100-skazok_11046164.jpg;Книги;Детская литература. Книги для детей и родителей;Художественная литература для детей;Сказки;Литературные сказки;;;
100 собак, которые изменили цивилизацию;;;9,79E+12;Стэлл С.;АСТ;2009;224;интегральный;Замечательные животные;;70x100/32;0.2;100-sobak-kotoryie-izmenili-tsivilizatsiyu_5702636.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Домашние животные. Аквариум;Собаки;;;
100 сокровищ человечества, которые необходимо увидеть;;Настоящее издание приглашает вас в незабываемое путешествие по интереснейшим местам нашей планеты, совершив которое вы узнаете о великих сокровищах человечества.   За долгую историю существования человека на Земле появилось много интересного и удивительного. Это грандиозные архитектурные сооружения, выдающиеся произведения искусства, уникальные природные ландшафты - многочисленные и разнообразные плоды труда разума и природы. Настоящее издание приглашает вас в незабываемое путешествие по интереснейшим местам нашей планеты, совершив которое вы узнаете о великих сокровищах человечества. Исторические памятники и монументальные дворцы прошлого, кафедральные соборы и небольшие переулки, а также восхитительные природные ландшафты и нетронутые уголки дикой природы пройдут перед взором читателя. Вы узнаете о традициях и легендах этих мест, об их реликвиях и тайнах, о достопримечательностях и архитектурных шедеврах минувших эпох. На страницах издания не только приведены иллюстрированные описания этих прекрасных уголков земли, но и содержится множество фотографий, а также полезная для туристов информация. Данная книга будет хорошим подарком для тех, кто хочет прикоснуться к прекрасному. Знакомство с настоящим изданием станет увлекательным интеллектуальным отдыхом и позволит расширить кругозор.;978-985-16-3242-4;Шереметьева Т.Л.;Харвест;2008;280;твердый;;;70х100/8;1, 458;100-sokrovisch-chelovechestva-kotoryie-neobhodimo-uvidet_4860968.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Путеводители;Путеводители по всему миру;;
100 сокровищ человечества;;В этой великолепно иллюстрированной книге вы узнаете о 100 сокровищах человечества.   Для широкого круга читателей.;9,79E+12;Резько И.В.;Харвест;2008;512;твердый;;;60x84/64;0.6;100-sokrovisch-chelovechestva_5720921.jpg;Книги;Профессиональная, специальная  и учебная литература;Религия. Эзотерика;Эзотерика. Парапсихология. Оккультизм;Тайны;;;
100% продвинутый английский: книга (в коробке);;"После того, как Вы закончили изучение начальной программы английского языка (Living Language или аналогичной), Вы можете совершенствовать свои знания с помощью программы ""100% Продвинутый Английский"", которая разработана экспертами Living Language. Используя новый эффективный и увлекательный курс Вы улучшите навыки разговорной речи, увеличите свой словарный запас и усовершенствуете знание грамматики. Вы получите прекрасную возможность практиковаться с помощью упражнений в книге и online!   В книге Вы найдете:<br/>- 20 уроков с живыми диалогами параллельно на русском и английском на различные темы от телевизионного шоу до открытия банковского счета и обсуждения проблем эмиграции.<br/>- Продвинутый уровень объяснения грамматики и употребления слов, подробные объяснения по произношению и идиоматическим выражениям.<br/>- Культурная жизнь - факты и интересные детали.<br/>- Деловая лексика и этикет.<br/>- Вопросы и тесты для проверки своих знаний с ответами.<br/>- Полный грамматический справочник и таблицы глаголов.<br/>- Практические советы по написанию деловых и частных писем.<br/>- Подробный двуязычный словарь.<br/>Полный курс, помимо данной книги, включает 2 mp3 диска с записанными диалогами, словарями, упражнениями (более 480 минут). 1 mp3 - для работы с книгой + 1 mp3 - за рулем.";5946191721;Mr. Dick3;Дельта Паблишинг;2008;88;твердый;100% Продвинутый;;60х90/16;0.6;100-prodvinutyiy-angliyskiy-kniga-v-korobke_4061621.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Иностранные языки;Языки стран Европы;Английский язык;Учебная литература для изучающих английский язык
100 простых ужинов;;;978-5-98837-065-9;Макоули Дж.;Кукбукс;2014;240;мягкий;Просто. Быстро. Вкусно;3000;70x108/32;0, 379;100-prostyih-ujinov_10749052.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Поваренные книги. Кулинарные рецепты;;;
100 скороговорок для маленьких;;;978-5-17-085193-5;;АСТ;2014;48;мягкий;Книжка в кармашек;5000;70x90/32;0, 045;100-skorogovorok-dlya-malenkih_11236653.jpg;Книги;Детская литература. Книги для детей и родителей;Художественная литература для детей;Книги для малышей;Песенки, потешки, поговорки;;;
100 способов самомотивации;100 Ways to Motivate Yourself;Даются 100 проверенных временем методов изменения образа мышления и действия, с помощью которых можно преодолеть негативные барьеры и пессимистические мысли, мешающие реализовать свои давние цели и мечты.<br/>Для широкого круга читателей.;978-985-15-1867-4;Чандлер С.;Попурри;2013;208;мягкий;;3500;60x84/16;0, 19;100-sposobov-samomotivatsii_10138710.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Психология;Популярная психология;;;
100% стартап. Как создать и раскрутить бизнес;;;978-5-496-00541-8;Парабеллум А., Пугачев А.;Питер;2013;96;мягкий;Бизнес в кармане;5000;60x88/32;0, 12;100-startap-kak-sozdat-i-raskrutit-biznes_10188793.jpg;Книги;Профессиональная, специальная  и учебная литература;Бизнес. Экономика;Бизнес. Предпринимательство;Популярная литература;;;
100 Sonnets of Galactic Love;;;9,78E+12;Keith Hackwood;PS Avalon;2004;120;мягкий;;;;0.18 кг;100-sonnets-of-galactic-love_11191525.jpg;Книги;Книга по требованию;Литературоведение. Проза. Поэзия. Драма;Все книги раздела Литературоведение. Проза. Поэзия. Драма;;;;
100 сытных блюд;;;978-5-98837-067-3;Фэрроу Дж.;Кукбукс;2014;240;мягкий;Просто. Быстро. Вкусно;3000;70x108/32;0, 377;100-syitnyih-blyud_10748991.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Поваренные книги. Кулинарные рецепты;;;
100 тайн советский эпохи;;;978-5-9910-2492-1;;Клуб семейного досуга;2013;416;твердый;Великие и легендарные;;60x90/16;0, 4;100-tayn-sovetskiy-epohi_10293651.jpg;Книги;Профессиональная, специальная  и учебная литература;Религия. Эзотерика;Эзотерика. Парапсихология. Оккультизм;Тайны;;;
100 величайших городов мира;;;978-5-699-71144-4;;Эксмо;2014;96;твердый;100 лучших;5000;60x84/8;0, 67;100-velichayshih-gorodov-mira_10731059.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Путеводители;Путеводители по всему миру;;
100 самых знаменитых автомобилей мира;;;978-5-17-078633-6;;АСТ;2013;224;твердый;100 самых;3000;84x108/16;1, 005;100-samyih-znamenityih-avtomobiley-mira_10307717.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Автомобили;Разное;;;
100 советов, как написать песню. Учебное пособие;;;978-5-222-22329-1;Донская Ю.А.;Феникс;2014;112;мягкий;Любимые мелодии;2500;84x108/32;0, 104;100-sovetov-kak-napisat-pesnyu-uchebnoe-posobie_10873284.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Музыка;Песенники;;
100 рецептов карри;;;978-5-98837-064-2;Виджайякар С.;Кукбукс;2014;240;мягкий;Просто. Быстро. Вкусно;3000;70x108/32;0, 379;100-retseptov-karri_10749166.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Национальные кухни;;;
100 узоров для вязания крючком;;В этой коробке вы найдете:<br/>• Базовые узоры.<br/>• Плотные узоры.<br/>• Структурные узоры.<br/>• Клетчатые узоры.<br/>• Плетенки.<br/>• Ажурные узоры.<br/>• Сетчатые узоры.<br/>• Многоцветные узоры.<br/>• Вязание по кругу.<br/>Приятное хобби и гарантированный результат!;978-5-699-50820-4;;Эксмо;2011;42;;Рукоделие в коробке;5000;90x108/16;;100-uzorov-dlya-vyazaniya-kryuchkom_4854147.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Рукоделие;Вязание;;;
100 самых полезных продуктов;;;978-5-00057-126-2;Кардаш А.;Манн, Иванов и Фербер;2014;240;твердый;;2000;60x90/8;1, 088;100-samyih-poleznyih-produktov_10944635.jpg;Книги;Профессиональная, специальная  и учебная литература;Медицина и здоровье;Популярная и нетрадиционная медицина;Целебные свойства продуктов. Оздоровительное питание;;;
100 стихов для чтения дома и в детском саду;;;978-5-17-081903-4;;АСТ;2014;192;твердый;Любимая книжка для малыша и малышки;3000;60x84/16;0, 365;100-stihov-dlya-chteniya-doma-i-v-detskom-sadu_11146153.jpg;Книги;Детская литература. Книги для детей и родителей;Художественная литература для детей;Поэзия для детей;;;;
100 способов мотивации. Как великие лидеры добиваются великих результатов;100 Ways To Motivate Others;;978-985-15-2241-1;Чандлер С., Ричардсон С.;Попурри;2014;224;мягкий;;3500;60x84/16;0, 214;100-sposobov-motivatsii-kak-velikie-lideryi-dobivayutsya-velikih-rezultatov_11224846.jpg;Книги;Профессиональная, специальная  и учебная литература;Бизнес. Экономика;Менеджмент;Компетенции менеджера;Мотивация;;
100 великих архитекторов;;Можно ли представить Москву без Кремля? Париж без Эйфелевой башни? А Санкт-Петербург без Адмиралтейства и Исаакиевского собора? А каким вам представляется Лондон без Часовой башни Вестминстерского дворца?.. У каждого города есть свое лицо и свой силуэт - образный знак, издали ориентирующий путешественника. За великими творениями архитектуры стоят знаменитые зодчие: Эйфель, Трезини, Баженов, Захаров, Монферан, Бэрри... 100 великих архитекторов - 100 великих судеб.;978-5-4444-0753-0;Самин Д.К.;ВЕЧЕ;2013;432;твердый;100 великих;3000;60x90/16;0, 47;100-velikih-arhitektorov_9130247.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих чудес природы;;"Книга, продолжающая популярную серию ""100 великих"", рассказывает об уникальных уголках природы нашей планеты. Читатель вместе с автором совершит путешествие по всем семи частям света и четырем океанам Земли, побывает в сказочной новозеландской Стране фьордов и на мысе Нордкап, у водопада Игуасу и в кратере Нгоронгоро, в тропическом раю Мальдивских островов и подводных чащах Большого Барьерного рифа... Особый раздел книги посвящен природным жемчужинам России и стран СНГ.";978-5-9533-5591-9;Вагнер Б.Б.;ВЕЧЕ;2011;240;твердый;100 великих;432;60х90/16;;100-velikih-chudes-prirodyi_4700306.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Энциклопедии;;;;
100 великих дипломатов;;Эти люди порой были столь могущественны, что могли в одночасье решить судьбу целого народа или страны. Военная мощь и финансовые возможности повергались в прах перед ловкостью и умом одного человека, сумевшего расположить и убедить государственного деятеля или даже самого монарха.  Перед читателем пройдет портретная галерея дипломатов высшей пробы - от Перикла и Мазарини до князя Горчакова и президента Рузвельта.;9,79E+12;Mr. Dick3;;2009;240;твердый;100 великих;;60х90/16;;100-velikih-diplomatov_4221627.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 упражнений по системе Монтессори для подготовки ребенка к чтению и письму;;В этой книге ясно и четко описаны 100 упражнений, с помощью которых вы:<br/>- Пробудите в ребенке желание научиться читать и писать<br/>- Научите его познавать и понимать окружающий мир<br/>- Откроете для него поэзию<br/>- Будете совершенствовать его слух<br/>- Разовьете его мелкую моторику<br/>- Познакомите его с буквами и заложите основы для дальнейшего обучения чтению и письму.<br/>Четкая и логичная структура книги поможет вам грамотно построить занятия с ребенком и добиться успеха. Предлагая ребенку в это время преимущественно игровые занятия, делая простой в изготовлении сенсорный материал для этих занятий, создавая вокруг ребенка атмосферу спокойствия и ясности, вы дадите малышу ключ для легкого обучения письму и чтению, для учебы с глубоким интересом и концентрацией и для усвоения полученных знаний надолго.;978-5-91982-342-1;Пляс М.Э.;Клевер;2013;224;мягкий;Школа для родителей;4000;60x84/16;0, 291;100-uprajneniy-po-sisteme-montessori-dlya-podgotovki-rebenka-k-chteniyu-i-pismu_10402196.jpg;Книги;Детская литература. Книги для детей и родителей;Обучающая и развивающая литература для детей;Обучение чтению и письму;Развитие речи. Обучение чтению;;;
100 великих чудес инженерной мысли;;;978-5-4444-1572-6;Низовский А.Ю.;ВЕЧЕ;2014;432;твердый;100 великих;3000;60x90/16;0, 418;100-velikih-chudes-injenernoy-myisli_10711003.jpg;Книги;Профессиональная, специальная  и учебная литература;Прикладные науки. Техника;Технические науки;Технические науки в целом;;;
100 тайн планеты Земля;;;978-5-699-64699-9;Золоева Л.В.;Эксмо;2014;256;твердый;;5000;84x108/16;0, 948;100-tayn-planetyi-zemlya_10902170.jpg;Книги;Детская литература. Книги для детей и родителей;Познавательная литература для детей;Природа и окружающий мир;Земля. Вселенная. Космос;;;
100 способов повышения урожайности;;Если вы хотите получать богатый урожай овощей, фруктов и ягод с маленького участка, эта книга для вас. В ней описано множество способов повышения урожайности даже самой бедной и истощенной почвы.   Кроме того, вы узнаете, как правильно ухаживать за абрикосом и сливой, как выращивать томаты, перец, патиссоны и многие другие садовые и огородные культуры.;9,79E+12;Капранова Е.Г.;Феникс;2010;192;мягкий;Без проблем;;84x108/32;0.1;100-sposobov-povyisheniya-urojaynosti_4041749.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Сад. Огород. Цветоводство;Справочная литература для садоводов и огородников;;;
100 великих храмов;;Серия книг о самых лучших в мире местах и достижениях человечества. В каждой книге представлены 100 объектов по теме с красочными иллюстрациями, интересными описаниями и полезной информацией. Соберите всю коллекцию этих потрясающих книг, и на вашей книжной полке будут издания о самых красивых в мире местах, дворцах, замках, автомобилях, о самых известных предметах оружия, о лучших в мире спортсменах и многом другом. Это будет коллекция, которой, без сомнения, можно гордиться!;978-5-699-66640-9;Сидорова М.С.;Эксмо;2013;96;твердый;100 лучших;4000;60x84/8;0, 658;100-velikih-hramov_10588688.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Фотоальбомы о путешествиях;;;
100 великих хоккеистов;;Это - хоккей! Искрометный, азартный, атлетический и вдобавок очень зрелищный вид игрового спорта. В нашу страну хоккей с шайбой пришел довольно поздно - уже после Второй мировой войны. Пришел и очень быстро завоевал огромную популярность. И уже очень скоро у нас появились великолепные мастера, а после первых и достаточно быстрых побед на международном уровне многие из них стали поистине народными героями. С тех пор хоккейными талантами наша страна никогда не оскудевала. Благодаря им она и стала великой хоккейной державой. Но, конечно, свои герои-хоккеисты всегда были и есть и в других хоккейных странах - Канаде, США, Швеции, Чехии и Словакии, Финляндии. О 100 великих хоккеистах мира рассказывает эта книга.;978-5-4444-0319-8;Малов В.И.;ВЕЧЕ;2013;448;твердый;;5000;60x90/16;0, 388;100-velikih-hokkeistov_10649065.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих аристократов;;"Аристократы — представители родовой знати, имеющие, как правило, высшие титулы и заслуги не одного поколения.   В странах Европы, в России, в меньшей степени в Азии и Америке они оставили свой яркий след в памяти человечества. Военачальники и дипломаты, фавориты и политиче¬ские авантюристы, нередко — реформаторы и борцы за свободу, деятели науки и культуры, меценаты, — так или иначе аристократы внесли свой вклад в историю. По их жизни порой судили о целых странах и эпохах. Новая книга из серии ""100 великих"", написанная известным историком Юрием Лубченковым, рассказывает о сотне наиболее выдающихся аристократов всех времен и народов от героев античности до графа Льва Толстого, князя Кропоткина, барона Врангеля, Уинстона Черчилля и Шарля де Голля.";9,79E+12;Лубченков Ю.Н.;ВЕЧЕ;2009;432;твердый;100 великих;;60х90/16;0.4;100-velikih-aristokratov_4597239.jpg;Книги;Профессиональная, специальная  и учебная литература;Религия. Эзотерика;Эзотерика. Парапсихология. Оккультизм;Тайны;;;
100 великих достопримечательностей Москвы;;;978-5-4444-1978-6;Мясников А.Л.;ВЕЧЕ;2014;320;твердый;;3000;60x90/16;0, 36;100-velikih-dostoprimechatelnostey-moskvyi_11025479.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Москва. Подмосковье ;История. Памятники архитектуры;;
100 Великих аристократов;;"Аристократы - представители родовой знати, имеющие, как правило, высшие титулы и заслуги не одного поколения. В странах Европы, в России, в меньшей степени в Азии и Америке они оставили свой яркий след в памяти человечества. Военачальники и дипломаты, фавориты и политические авантюристы, нередко - реформаторы и борцы за свободу, деятели науки и культуры, меценаты, - так или иначе аристократы внесли свой вклад в историю. По их жизни порой судили о целых странах и эпохах. Новая книга из серии ""100 великих"", написанная известным историком Юрием Лубченковым, рассказывает о сотне наиболее выдающихся аристократов всех времен и народов от героев античности до графа Льва Толстого, князя Кропоткина, барона Врангеля, Уинстона Черчилля и Шарля де Голля.";978-5-4444-0754-7;Лубченков Ю.Н.;ВЕЧЕ;2013;432;твердый;100 великих;2000;60x90/16;0, 395;100-velikih-aristokratov_9130245.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих достопримечательностей Санкт-Петербурга;;"Санкт-Петербург уникален. Своеобразие и чарующе-строгое обаяние города складывается из уникальности и неповторимости всех его архитектурных составляющих: дворцов и набережных, проспектов и площадей, улиц и переулков, мостов и памятников, садов и парков. Откройте и вы свой неповторимый ""старый добрый Питер"". И начните со ста самых замечательных, великих достопримечательностей города.";978-5-4444-1653-2;Мясников А.Л.;ВЕЧЕ;2014;319;твердый;100 великих;3000;60x90/16;0, 351;100-velikih-dostoprimechatelnostey-sankt-peterburga_10646115.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Санкт-Петербург;История. Памятники архитектуры;;
100% самоучитель. Windows Vista. Русская версия;;Самоучитель позволит Вам на 100% самостоятельно, быстро и эффективно научиться работать с операционной системой Windows Vista.   Книга написана в расчете как на новичков, только приступивших к знакомству с компьютером и операционной системой Windows, так и на продвинутых пользователей, желающих освоить новинки версии Windows Vista. Обучение ведется на основе точных пошаговых инструкций, сопровождаемых прекрасно подобранными иллюстрациями. Все примеры и упражнения предназначены для практического освоения операционной системы Windows Vista и ориентированы на получение быстрого результата минимальной ценой.;9,79E+12;Пташинский В.С.;Триумф;2008;240;мягкий;100 % самоучитель;;70х100/16;;100-samouchitel-windows-vista-russkaya-versiya_5254184.jpg;Книги;Профессиональная, специальная  и учебная литература;Компьютерная литература;Операционные системы;MS Windows;;;
100 великих художников;;;978-5-4444-1977-9;Самин Д.К.;ВЕЧЕ;2014;480;твердый;100 великих;3000;60x90/16;0, 417;100-velikih-hudojnikov_10802205.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих достопримечательностей Москвы;;Сегодняшняя Москва - растущий, быстро изменяющийся город. Город, где переплелись Европа и Азия, архаическое и сверхсовременное, где перезвон мобильных телефонов сливается с гулом церковных колоколов. Сегодняшняя Москва - это место, где перемешались поколения и образы жизни, стили и направления, где разрушаются мифы, создаются легенды и, конечно же, новые и новые достопримечательности. И хочется верить, что многие из них по праву займут своё место в ряду проверенных веками. О ста самых знаменитых и удивительных достопримечательностях Москвы рассказывает книга известного журналиста, писателя и историка Александра Мясникова.;978-5-9533-6097-5;Мясников А.Л.;ВЕЧЕ;2012;240;твердый;100 великих;3000;60x90/16;;100-velikih-dostoprimechatelnostey-moskvyi_5403148.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Архитектура;;;
100 великих храмов мира;;"Храмовые сооружения во все века считались местами святыми, служили для уединения и совершения религиозного обряда. В них верующие искали утешение и путь к духовной свободе. В иллюстрированной книге ""100 великих храмов мира"" впервые собраны воедино уникальные в историческом плане, интересные в архитектурном отношении церкви, соборы, монастыри, мечети, синагоги, которые дают представление о существующих религиях мира. Читатель узнает о судьбе древних готических соборов Европы, познакомится с богатейшими мечетями Азии, откроет для себя тайны храмов Африки, Австралии, Южной и Северной Америки. Книга рассчитана на массового читателя.";978-5-9533-6115-6;Кубеев М.Н.;ВЕЧЕ;2011;240;твердый;Иллюстрированная коллекция;5000;60х90/8;;100-velikih-hramov-mira_5408438.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Архитектура;;;
100 великих богов;;Книга рассказывает о самых знаменитых из богов, которым поклонялись в прошлом, а отчасти поклоняются и теперь разные племена и народы. Знакомство с этими богами помогает нам лучше понять духовный мир не только людей давно ушедших веков, но и самих себя. Помимо ста великих, в книге упомянуто немало других богов, а также приведены разнообразные дополнительные сведения из истории культуры, что позволяет сопоставлять былые идеи с современными. Пристально вглядываясь в прошлое, мы начинаем лучше понимать настоящее.;978-5-9533-6129-3;Баландин Р.К.;ВЕЧЕ;2011;240;твердый;100 великих;;60х90/16;;100-velikih-bogov_4728357.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Справочники;;;;
100 великих катастроф;;"Всемирный потоп, исчезновение древнего материка Атлантида, гибель библейских городов Содом и Гоморра, извержение вулкана Везувий и разрушение городов Помпеи и Геркуланум, гибель испанской Непобедимой армады, загадка грандиозного взрыва в районе Подкаменной Тунгуски, катастрофа на Ходынском поле, гибель пассажирского лайнера ""Титаник"", крушение немецкого пассажирского дирижабля ""Гинденбург"", авария на Чернобыльской АЭС, землетрясение в Армении, взрыв многоразового транспортного космического корабля ""Челленджер"", гибель парома ""Эстония""… Об этих и других бедствиях и катастрофах в истории человечества рассказывает очередная книга серии.";9,79E+12;Ионина Н.А.;ВЕЧЕ;2010;240;мягкий;;;84х108/32;;100-velikih-katastrof_5005941.jpg;Книги;Профессиональная, специальная  и учебная литература;Религия. Эзотерика;Эзотерика. Парапсихология. Оккультизм;Тайны;;;
100 стихов, сказок, рассказов для чтения в детском саду и дома;;;978-5-17-081996-6;;АСТ;2014;416;твердый;100 новых хрестоматий;4000;60x90/16;0, 52;100-stihov-skazok-rasskazov-dlya-chteniya-v-detskom-sadu-i-doma_11126299.jpg;Книги;Детская литература. Книги для детей и родителей;Художественная литература для детей;Поэзия для детей;;;;
100 великих книг;;Перечни наиболее значительных произведений мировой литературы (научной и художественной) всех времен и народов составлялись и издавались неоднократно. Авторы этой книги предлагают собственную версию - приближенную к канонической, но пропущенную через свои ум, душу и сердце. Валерий Никитич Демин (1942-2006) - доктор философских наук, известный исследователь Севера и традиций космизма в русской культуре  Юрий Андреевич Абрамов (1936-2001) - доктор экономических наук, много лет посвятивший преподаванию, - они в этой книге взаимно дополняют друг друга незаурядной эрудицией и научным темпераментом.;978-5-4444-1449-1;Абрамов Ю.А., Демин В.;ВЕЧЕ;2013;480;твердый;100 великих;3000;60x90/16;0, 43;100-velikih-knig_10562156.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;История культуры. Культурология;;;
100 великих имен Серебряного века;;"В российской истории конец XIX-начало XX века называют Серебряным веком, или Русским Ренессансом, и сравнивают его с итальянским Возрождением.   И в России и в Италии это время ознаменовано небывалом взлетом литературы, философии, музыки, театра, изобразительного искусства. В России, как и в Италии, ""дух эпохи"" питался усилиями лишь нескольких сотен исключительно одаренных личностей, творения которых оказали огромное влияние не только на европейскую, но и мировую культуру.<br/>Очередная книга серии рассказывает о ста наиболее выдающихся именах Серебряного века.";9,79E+12;Рыжков К.;ВЕЧЕ;2011;432;твердый;100 великих;;60х90/16;;100-velikih-imen-serebryanogo-veka_5032141.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих афер;;"У вас в руках - настоящая энциклопедия мирового мошенничества, причудливая и остросюжетная летопись человеческой алчности.   На страницах книги перед вами предстанут цари и принцы никогда не существовавших стран и короли жуликов, создатели подделок ставших мировой сенсацией. Кто не слышал в нынешней России об уголовных делах ""МММ"" и ""Русского Дома Селенга""? Но, оказывается, первую финансовую пирамиду у нас в стране построили еще в по запрошлом веке! Рассказ о погибшем НЛО, тайна динозавра из озер Лох-Несс, история романтических ""Поэм Оссиана"" поистине не позволят вам скучать.";9,79E+12;Мусский И.А.;ВЕЧЕ;2010;416;твердый;100 великих;;60x90/16;;100-velikih-afer_4602514.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Энциклопедии;;;;
100 великих кораблекрушений;;История мореплавания - это хроника гибели кораблей. Будоражащие душу рассказы о сокровищах, лежащих на дне моря, - один из популярных сюжетов в мировой литературе. Но не следует забывать и о многочисленных жертвах стихии, о человеческих трагедиях. На современных судах предусмотрено куда больше приспособлений для безопасности людей, чем на старинных галионах и каравеллах. Однако корабли продолжают идти ко дну и даже исчезают без следа вместе с экипажем. Может быть, вмешивается потусторонняя сила?;978-5-9533-6193-4;;ВЕЧЕ;2011;416;твердый;100 великих;;60х90/16;;100-velikih-korablekrusheniy_4727757.jpg;Книги;Профессиональная, специальная  и учебная литература;Религия. Эзотерика;Эзотерика. Парапсихология. Оккультизм;Тайны;;;
